dataset,algo,runs,time_sec,bins_used,optimal_bins,extra_bins,overall_ratio,num_instances,optimal_hits,avg_ratio,time_per_item
falkenauer-1000,anthropic-vns,5,163.34471573400242,40378,40055,323,1.008063912120834,20,0,1.008066099131109,0.0016666666666666668
falkenauer-1000,openai-aco,5,173.68384305400377,40410,40055,355,1.008862813631257,20,0,1.0088676713664224,0.0016666666666666668
falkenauer-1000,openai-ga,5,169.4821258450047,40473,40055,418,1.0104356509799026,20,0,1.010438708019998,0.0016666666666666668
falkenauer-1000,openai-sa,5,167.1935612430034,40526,40055,471,1.011758831606541,20,0,1.0117621042096243,0.0016666666666666668
falkenauer-1000,openai-tabu,5,170.8355686509958,40540,40055,485,1.0121083510173512,20,0,1.0121146488386332,0.0016666666666666668
falkenauer-1000,openai-vns,5,166.68539129400597,40394,40055,339,1.0084633628760455,20,0,1.008461963486399,0.0016666666666666668
falkenauer-120,openai-grasp,5,21.218990413995925,4941,4905,36,1.0073394495412844,20,14,1.0073767262757944,0.0016666666666666668
falkenauer-250,openai-grasp,5,43.42179502900399,10261,10160,101,1.0099409448818897,20,5,1.0099128542211324,0.0016666666666666668
falkenauer-500,openai-grasp,5,87.28127255992149,20334,20120,214,1.0106361829025845,20,0,1.0106446656898027,0.0016666666666666668
falkenauer-1000,openai-grasp,5,178.16991492496163,40473,40055,418,1.0104356509799026,20,0,1.010438654902631,0.0016666666666666668
falkenauer-1000,openai-fdo,5,166.95734377398912,40541,40055,486,1.0121333166895519,20,0,1.012138658739623,0.0016666666666666668
falkenauer-500,openai-fdo,5,83.42721258901292,20378,20120,258,1.0128230616302187,20,0,1.01283277151393,0.0016666666666666668
falkenauer-250,openai-fdo,5,41.702282919039135,10294,10160,134,1.0131889763779527,20,0,1.013155805605282,0.0016666666666666668
falkenauer-120,openai-fdo,5,20.01735413595452,4971,4905,66,1.0134556574923548,20,8,1.0136209957227031,0.0016666666666666668
falkenauer-120,anthropic-tabu,5,5.094978160967003,4930,4905,25,1.0050968399592253,20,15,1.0051694395149362,0.0016666666666666668
falkenauer-250,anthropic-tabu,5,28.9103512600268,10230,10160,70,1.0068897637795275,20,8,1.0068771469227362,0.0016666666666666668
falkenauer-500,anthropic-tabu,5,73.34254707006039,20256,20120,136,1.0067594433399603,20,2,1.0067746889445306,0.0016666666666666668
falkenauer-1000,anthropic-tabu,5,158.50007506996917,40310,40055,255,1.0063662464111847,20,0,1.0063636222202834,0.0016666666666666668
falkenauer-120,gga,5,2.928688146999775,4911,4905,6,1.001223241590214,20,20,1.001212244897959,0.0016666666666666668
falkenauer-250,gga,5,20.12283139500323,10191,10160,31,1.0030511811023621,20,15,1.0030050974306863,0.0016666666666666668
falkenauer-500,gga,5,72.07241014799729,20205,20120,85,1.0042246520874751,20,10,1.0042306685435578,0.0016666666666666668
falkenauer-1000,gga,5,161.130437265997,40583,40055,528,1.0131818749219823,20,0,1.0131815953448973,0.0016666666666666668
falkenauer-120,sa,5,13.304265072997623,4975,4905,70,1.0142711518858307,20,6,1.0144458256546758,0.0016666666666666668
falkenauer-250,sa,5,39.583739569000954,10310,10160,150,1.014763779527559,20,0,1.0147517532014279,0.0016666666666666668
falkenauer-500,sa,5,79.16783283699715,20360,20120,240,1.0119284294234592,20,0,1.0119399406623115,0.0016666666666666668
falkenauer-1000,sa,5,96.90628720999894,40475,40055,420,1.0104855823243042,20,0,1.0104838695619283,0.0016666666666666668
